Titre,Prix,Marque,Modele,Transmission,Carburant,Annee,Kilométrage
a vendre megane casquette Diesel,14 000 ,Renault , Megane,Manuelle,Diesel,2003,186000
AV POLO 5 importé 6CV 1.4L,16 000 ,Volkswagen , Polo,Automatique,Essence,2002,91000
noir,17 ,Peugeot , 206,Manuelle,Essence,2011,94000
renault scenic,14 000 ,Renault , Scenic,Manuelle,Diesel,2006,132000
Ford Fiesta -00,125 000 ,Ford , Fiesta,Manuelle,Essence,2000,190000
Grandi Punto à vendre,18 500 ,Fiat , Punto,Manuelle,Essence,2008,91000
a vendre clio 4,11 800 ,Renault , Clio,Manuelle,Essence,1999,200000
belle kia rio vente ou échange,18 000 ,Kia , Rio,Manuelle,Essence,2010,62000
Offre formidable Clio 6,25 500 ,Renault , Clio,Manuelle,Essence,2010,41000
Clio 1ere Main,15 000 ,Renault , Clio,Manuelle,Essence,2006,198000
A VENDRE POLO 4 MOTEUR 1.4,11 200 ,Wiesmann , Autres,Manuelle,Essence,2000,230000
"Volkswagen Jetta, 1.2 TSI essence",45 000 ,Volkswagen , Jetta,Manuelle,Essence,2013,19000
Citoen C4 Diesel HDi Imprtée,24 000 ,Citroen , C4,Manuelle,Diesel,2009,107000
fiat evo,22 500 ,Fiat , Punto Evo,Manuelle,Essence,2012,68000
dame vends une tres belle c3,"16,800 ",Citroen , C3,Manuelle,Essence,2007,65000
PEUGEOT 407 SW (BREAK) 1.6 HDI,25 000 ,Peugeot , 407,Manuelle,Diesel,2008,165000
Limosine pour fête avec un chauffeur,530 ,Audi , 100,Automatique,Diesel,2000,300000
Femme vends voiture ford fiesta ghia,16 500 ,Ford , Fiesta,Manuelle,Essence,2006,150000
Citroen c 3 nouveau a vendre,25 000 ,Citroen , C3,Manuelle,Essence,2012,59000
306 ndifa barcha,8 800 ,Peugeot , 306,Manuelle,Diesel,2001,588000
Golf 5 etat d'origine,27 000 ,Volkswagen , Golf,Manuelle,Essence,2008,127000
Vends une Kia Rio noire,22 000 ,Kia , Rio,Manuelle,Essence,2010,48000
a vendre voitur,5 500 ,Renault , Clio,Manuelle,Diesel,1998,291166
Grande punto toutes options,18 700 ,Fiat , Grande Punto,Manuelle,Essence,2010,98000
une 207 noire,21 500 ,Peugeot , 207,Manuelle,Essence,2010,56000
FORD RANGER XLT,35 000 ,Ford , Ranger,Manuelle,Diesel,2009,180000
polo 5,13 000 ,Volkswagen , Polo,Manuelle,Essence,2004,126000
opel astraf break,11 400 ,Opel , Astra,Automatique,Essence,1995,177000
207 Noir A VENDRE,28 000 ,Peugeot , 207,Manuelle,Essence,2012,46000
belle voiteur,18 500 ,Renault , Symbol,Manuelle,Essence,2009,64000
avendre Cilo campus,16 000 ,Renault , Clio,Manuelle,Essence,2008,123000
FORD FIESTAT TITANIUM,26 000 ,Ford , Fiesta,Manuelle,Essence,2012,64000
Polo7,20 500 ,Volkswagen , Polo,Manuelle,Essence,2010,72800
A vendre mazda CX9 neuve n a parcouru que 30mkm ttes options sauf toit ouvrant tres propre 3 ans en garage,78 000 ,Mazda , CX-9,Automatique,Essence,2010,30000
Renault symbol,14 200 ,Renault , Symbol,Manuelle,Essence,2009,200000
belle kia rio,23 000 ,Kia , Rio,Manuelle,Essence,2011,50000
très belle citroen berlingo,17 000 ,Citroen , Berlingo,Manuelle,Diesel,2010,89000
Mercedes C 280 - AMG,62 000 ,Mercedes-Benz , C 280,Automatique,Essence,2007,108000
top urgent,30 000 ,Peugeot , 3008,Manuelle,Diesel,2010,160000
polo 3 1999,8 ,Volkswagen , Polo,Manuelle,Essence,1999,228000
VW jetta full options DSG 7,46 000 ,Volkswagen , Jetta,Automatique,Essence,2011,17000
Mercedes E 230 AMG,15 000 ,Mercedes-Benz , 230,Automatique,Essence,1999,250000
golf 4,15 200 ,Volkswagen , Golf,Manuelle,Essence,1998,220000
Renault symbol 1ere main,15 800 ,Renault , Symbol,Manuelle,Essence,2009,117000
Peugeot 406,15 000 ,Peugeot , 406,Manuelle,Essence,2002,243000
Citroen c elysée,27 800 ,Citroen , Autres,Manuelle,Essence,2013,11000
207,30 000 ,Peugeot , 207,Manuelle,Essence,2012,38000
Megane CLASSIQUE,125 000 ,Renault , Megane,Manuelle,Essence,2005,220000
golf V,26 000 ,Volkswagen , Golf,Manuelle,Diesel,2007,130000
NISSAN JUKE,125 000 ,Nissan , Juke,Manuelle,Diesel,2011,90000
belle 308 sw break,125 000 ,Peugeot , 308,Manuelle,Diesel,2009,120000
berlingo b9 tts options 3place,21 500 ,Citroen , Berlingo,Manuelle,Diesel,2010,130000
POLO 7,19 900 ,Volkswagen , Polo,Manuelle,Essence,2010,58000
Smart Fortwo coupe CDI Passion,18 000 ,Smart , ForTwo,Manuelle,Diesel,2009,65600
BMW X6 XDRIVE 30D,175 000 ,BMW , X6,Automatique,Diesel,2009,92000
PEUGEOT 301 1.2 allure,28 500 ,Peugeot , 301,Manuelle,Essence,2013,13000
polo 4 a vendre,11 200 ,Volkswagen , Polo,Manuelle,Essence,2000,165000
mercedes benz class A 200 design sportif neuve,88 000 ,Mercedes-Benz , A 200,Automatique,Diesel,2014,15000
Peugeot 206 usage Taxi.,9 800 ,Peugeot , 206,Manuelle,Diesel,2004,762000
GOLF6 FORSA,38 000 ,Volkswagen , Golf,Manuelle,Diesel,2011,85000
Megane Classic à vendre,18 000 ,Renault , Megane,Manuelle,Essence,2008,88000
a vendre Fiat Punto,13 000 ,Fiat , Punto,Manuelle,Essence,2010,200000
MERCEDES 190 DIESEL,8 000 ,Mercedes-Benz , 190,Manuelle,Diesel,1986,300000
megane coupée importée de l'étranger série 161,29 500 ,Renault , Megane,Manuelle,Essence,2009,102000
Citroen c4 07,20 500 ,Citroen , C4,Manuelle,Diesel,2007,164000
POLO7 NEUVE,30 000 ,Volkswagen , Polo,Manuelle,Essence,2013,15000
fiat grande punto,16 200 ,Fiat , Grande Punto,Automatique,Essence,2011,155000
Vente Voiture,13 500 ,Renault , Scenic,Manuelle,Diesel,2000,270000
RAV 4 Diesel 5 portes très peu servie,45 000 ,Toyota , RAV 4,Manuelle,Diesel,2004,73350
PEUGEOT PARTNER TEPEE 1.6 HDI 90 5 places,35 000 ,Peugeot , Partner Tepee,Manuelle,Diesel,2011,129000
Très belle Passat,21 000 ,Volkswagen , Passat,Manuelle,Essence,2000,209118
TOUAREG R5 TDI,35 000 ,Volkswagen , Touareg,Manuelle,Diesel,2004,350000
TOUAREG R5 TDI,35 000 ,Volkswagen , Touareg,Manuelle,Diesel,2004,350000
Très belle 407 trés propre série 125,21 500 ,Peugeot , 407,Manuelle,Diesel,2006,129000
Belle Passat,18 500 ,Volkswagen , Passat,Manuelle,Diesel,2002,370000
BMW,23 000 ,BMW , 316,Manuelle,Essence,2004,292000
clio classique,10 799 ,Renault , Clio,Manuelle,Essence,2002,222000
bmw 318 tds,13 500 ,BMW , 318,Manuelle,Diesel,1995,244000
megane coupé,29 000 ,Renault , Megane,Automatique,Essence,2010,102000
superbe 406,22 000 ,Peugeot , 406,Manuelle,Essence,2001,42179
megane coupé,15 700 ,Renault , Megane,Manuelle,Diesel,2004,250000
a vendre une Clio chipie,7 200 ,Renault , Clio,Manuelle,Essence,1997,225730
SPORTERO,38 000 ,Mitsubishi , L200,Manuelle,Diesel,2009,125000
Renault scénic i rx4 1.9 dci,14 000 ,Renault , Scenic,Manuelle,Diesel,2000,235014
Volkswagen passat modifiée toutes options,20 000 ,Volkswagen , Passat,Manuelle,Essence,1998,225000
kia serrato,27 000 ,Kia , Sorento,Manuelle,Essence,2009,105000
polo 7 ; 4 ch mazout importer germanie,25 000 ,Volkswagen , Polo,Manuelle,Diesel,2009,140000
voiture de dame en parfait état,23 000 ,Kia , Rio,Manuelle,Essence,2011,52000
Clio 5 storia importe d'Italie.,11 ,Renault , Clio,Manuelle,Essence,2007,37
2013 Volkswagen PASSAT CC Sportline Sedan,63 000 ,Volkswagen , CC,Automatique,Essence,2013,18324
cleo classique on trés bon état,16 500 ,Renault , Clio,Manuelle,Essence,2007,109000
vente/ echange,29 700 ,Volkswagen , Passat,Manuelle,Essence,2009,119
Clio campus,20 300 ,Renault , Clio,Manuelle,Essence,2009,78400
nouvelle KIA Picanto,20 000 ,Kia , Picanto,Automatique,Essence,2012,22000
C4 Première main,41 000 ,Citroen , C4,Manuelle,Essence,2013,20000
vente passat,22 000 ,Volkswagen , Passat,Manuelle,Diesel,2006,198
Passat turbo diesel injection,19 500 ,Volkswagen , Passat,Manuelle,Diesel,2000,170000
A vendre,38 000 ,Mercedes-Benz , B 180,Manuelle,Diesel,2007,65000
a vendre ou à changer,14 ,Peugeot , 206,Manuelle,Essence,2010,205000
polo3,10 200 ,Volkswagen , Polo,Manuelle,Essence,1999,139000
Grande punto diesel importé de France,21 000 ,Fiat , Punto Evo,Manuelle,Diesel,2009,62000
MERCEDES 203,30 000 ,Mercedes-Benz , 200,Manuelle,Diesel,2003,150000
Une belle golf 3 sport 2 pote une tré belle occas,8 300 ,Volkswagen , Golf,Manuelle,Essence,1994,245000
PAJERO 4X4,14 300 ,Mitsubishi , Pajero,Manuelle,Diesel,1999,500000
Mégane 3 coupé 2 portes,30 000 ,Renault , Megane,Manuelle,Diesel,2010,171000
207 cc,34 000 ,Peugeot , 207,Manuelle,Essence,2010,18000
a vendre c3 tonic,29 ,Citroen , C3,Manuelle,Essence,2012,21000
voiture à vendre,14 200 ,Opel , Astra,Manuelle,Diesel,2000,260000
Bora VW très bon état,12 000 ,Volkswagen , Bora,Manuelle,Essence,2000,220000
toyota starlet treees propre,8 600 ,Toyota , Starlet,Manuelle,Essence,1995,275
chevrolet aveo coupé,15 000 ,Chevrolet , Aveo,Manuelle,Essence,2006,87000
belle golf 5 a vendre,27 000 ,Volkswagen , Golf,Manuelle,Essence,2008,132000
Renault Koleos,125 000 ,Renault , Koleos,Manuelle,Diesel,2009,70000
PEUGEOT 308,26 000 ,Peugeot , 308,Manuelle,Diesel,2009,190000
GOLF6 FORSA,40 000 ,Volkswagen , Golf,Manuelle,Diesel,2011,85000
A VENDRE GolF 6 DEUX BANDES ROUGES,33 300 ,Volkswagen , Golf,Automatique,Essence,2010,60000
trés belle 207 phase 2 led 5cv,28 000 ,Peugeot , 207,Manuelle,Diesel,2012,61200
Vd ford mondeo,29 000 ,Ford , Mondeo,Manuelle,Essence,1988,115000
opel kadett moteur noir,3 800 ,Opel , Kadett,Manuelle,Essence,1990,830000
À vendre Renault Clio classique 5CV,16 800 ,Renault , Clio,Manuelle,Essence,2005,42000
belle mazda 4x4 diesel 4 port BT50 turbo,45 000 ,Mazda , Mazda5,Manuelle,Diesel,2010,101000
Lincoln navigator v8,19 000 ,Ford , Expedition,Automatique,Essence,2000,180000
VENTE,125 000 ,Renault , Clio,Manuelle,Essence,2009,89000
Une CLIO CHIPIE exceptionnelle,8 600 ,Renault , Clio,Manuelle,Essence,1998,180
av ou echange MEGANE CASQUETTE,11 800 ,Renault , Megane,Manuelle,Diesel,2004,240000
"vente Opel Corsa b, série 87",8 500 ,Opel , Corsa,Manuelle,Essence,1998,230000
voiture volkswagen transporter t5,34 000 ,Volkswagen , T5 autres,Automatique,Diesel,2009,1000000
symbol,16 000 ,Renault , Symbol,Manuelle,Essence,2010,101000
Très belle mercedes C300 4MATIC américaine,50 000 ,Mercedes-Benz , C 300,Automatique,Essence,2010,78000
partner,125 000 ,Peugeot , Partner,Manuelle,Diesel,2010,9900
xsara,13 500 ,Citroen , Xsara,Manuelle,Essence,2003,18000
Polo a Vendre,16 000 ,Volkswagen , Polo,Manuelle,Essence,2005,125000
VECTRA B SPORT,9 500 ,Opel , Vectra,Manuelle,Essence,1997,200000
Polo 5,11 500 ,Volkswagen , Polo,Manuelle,Essence,2005,133000
BMW 116i RS à RS,59 000 ,BMW , 116,Automatique,Essence,2013,6500
Belle Punto3 série 131,13 000 ,Fiat , Punto,Manuelle,Essence,2008,178000
Quashquai2010,45 000 ,Nissan , Qashqai,Manuelle,Diesel,2010,85000
a vendre 206,12 000 ,Peugeot , 206,Manuelle,Essence,2006,200000
205 JUNIOR,6 300 ,Peugeot , 205,Manuelle,Essence,1991,250000
AUDI 80 FANTOME SANS CARTE GRISE POUR PIECES,5 200 ,Audi , 80,Manuelle,Essence,1989,230000
407 navteq toutes options+possibilité échange,24 000 ,Peugeot , 407,Manuelle,Diesel,2008,118000
Excellente polo 7 modele rare,33 000 ,Volkswagen , Polo,Manuelle,Essence,2012,16500
belle kia rio modele 2010,25 000 ,Kia , Rio,Manuelle,Essence,2010,17000
407 navteq hdi 1.6 très propre,25 000 ,Peugeot , 407,Manuelle,Diesel,2008,170000
Kia Rio très bien entretenue,18 500 ,Kia , Rio,Manuelle,Essence,2010,45500
A vendre,14 000 ,Ford , Fiesta,Manuelle,Essence,2004,84000
une kia rio en très bon état,28 000 ,Kia , Rio,Manuelle,Essence,2012,30800
belle C5 1ére main très propre,35 000 ,Citroen , C5,Manuelle,Diesel,2009,77000
206+ ndayfa,21 000 ,Peugeot , 206,Manuelle,Essence,2011,80000
a vendre 206,14 000 ,Peugeot , 206,Manuelle,Essence,2006,200000
ford focus 1.4 6cv,13 800 ,Ford , Focus,Manuelle,Essence,2004,210000
toyota yaris sedan,33 300 ,Toyota , Yaris,Manuelle,Essence,2013,800
VOLKSWAGEN,17 600 ,Volkswagen , Polo,Manuelle,Essence,2009,100000
chevrolet,125 000 ,Chevrolet , Aveo,Manuelle,Essence,2011,50000
Fiat Palio 5cv à vendre,14 500 ,Fiat , Palio,Manuelle,Essence,2010,74000
Peugeot 508 noir métallisée,52 000 ,Peugeot , 508,Manuelle,Diesel,2012,15900
Fiat Punto 3,14 700 ,Fiat , Punto,Manuelle,Essence,2007,115600
obaine,18 500 ,Peugeot , 307,Manuelle,Diesel,2001,80000
Comme neuve,32 000 ,Kia , Rio,Manuelle,Essence,2012,15000
Seat ibiza premiere main 01 2012,24 000 ,Seat , Ibiza,Manuelle,Essence,2012,63000
bora tdi 130 6cv,"11 500,500 ",Volkswagen , Bora,Manuelle,Diesel,1999,211000
Polo 4 a vendre,12 500 ,Volkswagen , Polo,Manuelle,Essence,2001,256
CHEVROLET 4*4 CAPTIVA,60 000 ,Chevrolet , Captiva,Automatique,Diesel,2011,88000
chevrolet aveo coupé,15 000 ,Chevrolet , Aveo,Manuelle,Essence,2006,67000
Clio campus,19 500 ,Renault , Clio,Manuelle,Essence,2008,115000
RENAULT SYMBOL,18 000 ,Renault , Symbol,Manuelle,Essence,2009,70000
Renault Symbol,18 500 ,Renault , Symbol,Manuelle,Essence,2009,69000
Volksvagen Caddy life 5places - maxi limosone 1.9 Tdi,37 000 ,Volkswagen , Caddy,Manuelle,Diesel,2009,99000
FIAT PUNTO 3,11 900 ,Fiat , Punto,Manuelle,Essence,2009,115000
laguna 1.6 16v en tes bonne etat,16 800 ,Renault , Laguna,Manuelle,Essence,2005,178000
vente Passat TDI Diesel 7 chevaux Année 2000 Prix: 19000 dinars presque neuve toutes optionS,19 000 ,Volkswagen , Passat,Manuelle,Diesel,2000,180000
hummer h3,60 000 ,Hummer , H3,Automatique,Essence,2006,35700
citroen C8,125 000 ,Citroen , C8,Manuelle,Diesel,2004,500000
Citroen c4 coupé HDI,25 000 ,Citroen , C4,Manuelle,Diesel,2007,115000
Belle mini cooper,32 000 ,MINI , Cooper,Manuelle,Essence,2007,120000
URGENT CLIO 4 blanc neuf neuf !!,34 800 ,Renault , Clio,Manuelle,Essence,2013,5000
vds 207 hdi noire état,19 800 ,Peugeot , 207,Manuelle,Diesel,2007,172000
Urgent a saisir,11 000 ,BMW , 520,Manuelle,Essence,1990,180000
"Citroën C4, Dynamique plus, année 2012",35 000 ,Citroen , C4,Manuelle,Essence,2012,37000
excellente occasion d'achat d'une Fiat Tipo à ne pas manquer,7 000 ,Fiat , Tipo,Manuelle,Essence,1989,160000
RENAULT TWINGO,21 000 ,Renault , Twingo,Manuelle,Essence,2010,46000
fiesta,27 000 ,Ford , Fiesta,Manuelle,Diesel,2012,50000
JETTA BINT DAR ENNAKL,32 000 ,Volkswagen , Jetta,Manuelle,Essence,2009,88500
Renault Master a Vendre (PREMIERE MAIN),125 000 ,Renault , Master,Manuelle,Diesel,2006,270000
a vendre,17 000 ,Renault , Clio,Manuelle,Diesel,2004,100000
megane coupee,15 800 ,Renault , Megane,Manuelle,Essence,2003,162000
clio 3,19 200 ,Renault , Clio,Manuelle,Diesel,2007,138000
NE PAS RATE,11 500 ,Fiat , Punto,Manuelle,Essence,2004,175000
A VENDRE,28 000 ,Mercedes-Benz , C 220,Manuelle,Diesel,2003,220000
PUNTO,14 500 ,Fiat , Punto,Manuelle,Essence,2008,190000
NISSAN NAVARA BOITE AUTO,38 000 ,Nissan , Navara,Automatique,Diesel,2006,122
DS 3 Première main,37 500 ,Citroen , DS3,Manuelle,Essence,2010,40000
citroen c5,31 000 ,Citroen , C5,Manuelle,Essence,2009,115000
Golf6,35 500 ,Volkswagen , Golf,Manuelle,Essence,2010,57000
a vendre golf 6 TDI 1.6 FULL OPTIONS,45 500 ,Volkswagen , Golf,Automatique,Diesel,2010,80000
A ne pas rater Peugeot 407 exécutive,23 800 ,Peugeot , 407,Manuelle,Diesel,2008,149000
Renault 19 semi coupé,7 500 ,Renault , R 19,Manuelle,Essence,1989,250000
Belle occasion,23 500 ,Citroen , Berlingo,Manuelle,Essence,2011,111000
a vendre kia rio 4 portes,28 000 ,Kia , Rio,Manuelle,Essence,2012,28600
twingo sport,8 350 ,Renault , Twingo,Manuelle,Essence,1995,295000
Vend BMW E46,125 000 ,BMW , 316,Manuelle,Essence,2004,124000
citroen c5,34 000 ,Citroen , C5,Manuelle,Diesel,2009,160000
5cv 5 VT 95 din comparable à une golf 6,30 000 ,Kia , cee'd,Manuelle,Essence,2011,62100
BMW 316i SERIE 3,52 000 ,BMW , 316,Manuelle,Essence,2010,500000
Bmw 316i e90 phase 2,41 000 ,BMW , 316,Manuelle,Essence,2010,90000
Megane III 1.5 DCI 105 EXPRESSION BV6 importée,26 800 ,Renault , Megane,Manuelle,Diesel,2010,150000
FEMME VENDS SYMBOL,19 500 ,Renault , Symbol,Manuelle,Essence,2010,35000
renault symbol,19 500 ,Renault , Symbol,Manuelle,Essence,2010,35000
205 mazout,4 800 ,Peugeot , 205,Manuelle,Diesel,1994,350000
Peugeot 207 en TBE,125 000 ,Peugeot , 207,Manuelle,Essence,2007,99500
Mescedes 210,"18,500 ",Mercedes-Benz , E 220,Manuelle,Essence,1999,200000
Peugeot 508 Pack Active,42 000 ,Peugeot , 508,Manuelle,Essence,2011,56000
BMW serie 1,27 000 ,BMW , 116,Manuelle,Essence,2007,141000
BMW 118 I Série 1,52 000 ,BMW , 118,Manuelle,Essence,2008,127000
bmw 730i,7 500 ,BMW , 730,Manuelle,Essence,2003,200000
C4 importé Tu 149,24 000 ,Citroen , C4,Manuelle,Diesel,2008,135000
"Opel Astra 2010 Station Wagon 1,7 diesel Italie",30 000 ,Opel , Astra,Manuelle,Diesel,2010,155000
Belle Astra g année 2001,15 200 ,Opel , Astra,Manuelle,Essence,2001,146000
Bonne Ocasion,21 500 ,Opel , Astra,Manuelle,Essence,2006,100000
propre 407,22 800 ,Peugeot , 407,Manuelle,Diesel,2007,160000
polo 3 tuning,10 900 ,Volkswagen , Polo,Manuelle,Essence,2002,190000
Megane 3 importé de la france,27 300 ,Renault , Megane,Manuelle,Diesel,2010,100500
Peugeot 407 1.6 Diesel,21 500 ,Peugeot , 407,Manuelle,Diesel,2007,224000
KIA Rio,23 000 ,Kia , Rio,Manuelle,Essence,2011,39600
POLO 4,11 800 ,Volkswagen , Polo,Manuelle,Essence,2001,264000
clio campus,23 500 ,Renault , Clio,Manuelle,Essence,2009,60000
fiat punto 1,9 400 ,Fiat , Punto,Manuelle,Essence,1997,198000
golf 6 boite auto vien de Qatar a ne pas rater,35 000 ,Volkswagen , Golf,Automatique,Essence,2010,60000
land rover,17 000 ,Land Rover , Autres,Manuelle,Diesel,1982,65000
Voiture POLO 5 Bon état,13 500 ,Volkswagen , Polo,Manuelle,Essence,2004,200000
Megane 3 Diesel 5cv,31 000 ,Renault , Megane,Manuelle,Diesel,2010,166000
polo 6 premier main,125 000 ,Volkswagen , Polo,Manuelle,Essence,2007,84983
BMW 116,71 500 ,BMW , 116,Manuelle,Essence,2013,4000
voiture propre,12 600 ,Volkswagen , Polo,Manuelle,Essence,2001,147000
punto 1,10 000 ,Fiat , Punto,Manuelle,Essence,1998,192000
golf 6 (7CV) essence 1.6,38 000 ,Volkswagen , Golf,Manuelle,Essence,2010,98000
polo for,10 000 ,Volkswagen , Polo,Manuelle,Essence,2001,130000
4X4 PAJERO,18 000 ,Mitsubishi , Pajero,Manuelle,Diesel,1995,348000
Polo 5 en bonne etat,13 500 ,Volkswagen , Polo,Manuelle,Essence,2005,145000
kia avendre,18 000 ,Kia , Picanto,Manuelle,Essence,2010,200000
